timestep,base_station_id,users,demand,throughput,cell_load,avg_user_throughput,jains_fairness_index,congestion_ratio
1,1,49,263.0541105271864,96.95399338302596,0.9695399338302596,1.9786529261842032,0.9890789902872617,2.630541105271864
2,1,49,284.6097575541109,96.83668824107491,0.9683668824107491,1.9762589436954063,0.9876546282119499,2.846097575541109
3,1,49,260.5870016963773,93.8129566275229,0.9381295662752289,1.9145501352555692,0.9762542642465659,2.605870016963773
4,1,49,280.66281996030625,97.83539683232864,0.9783539683232864,1.9966407516801763,0.9929464769502027,2.8066281996030624
5,1,49,261.00475819316813,96.9316063651247,0.9693160636512469,1.978196048267851,0.988814854315025,2.6100475819316813
6,1,49,265.41540182741267,97.18185757104223,0.9718185757104223,1.9833032157355557,0.9899799082783399,2.654154018274127
7,1,49,275.40317317006054,98.80538226425243,0.9880538226425243,2.0164363727398453,0.9976181264871722,2.7540317317006053
8,1,49,270.52556920004105,97.72641980241302,0.9772641980241302,1.9944167306614902,0.9917132477631615,2.7052556920004105
9,1,49,283.39963931550034,97.36717846385743,0.9736717846385743,1.9870852747726007,0.990441124596051,2.833996393155003
10,1,49,279.56704128328795,96.30457865640975,0.9630457865640975,1.9653995644165254,0.986037188417916,2.7956704128328793
11,1,49,297.2068096585352,99.08787601306317,0.9908787601306317,2.0222015512870035,0.9985749954098865,2.972068096585352
12,1,49,273.0344215489499,97.34533464511298,0.9734533464511298,1.9866394825533262,0.9890101013714354,2.7303442154894992
13,1,49,220.5174599315739,93.59565011393695,0.9359565011393696,1.910115308447693,0.9789244053144335,2.2051745993157392
14,1,49,288.6953116074274,95.86983011488228,0.9586983011488228,1.956527145201679,0.9853647591886356,2.8869531160742743
15,1,49,294.78527870525875,99.47670424751149,0.9947670424751149,2.0301368213777855,0.999343821799832,2.9478527870525877
16,1,49,282.44919707230235,97.57258441528234,0.9757258441528234,1.9912772329649455,0.9917213270829123,2.8244919707230234
17,1,49,268.5414011305961,95.05835794449142,0.9505835794449142,1.9399664886630903,0.9829656299896689,2.6854140113059612
18,1,49,257.523225461935,96.21290028673323,0.9621290028673323,1.96352857728027,0.9858402992582092,2.57523225461935
19,1,49,268.45410719181285,97.50530242493654,0.9750530242493655,1.989904131121154,0.9923791077338134,2.6845410719181286
20,1,49,245.7578467187604,95.58075597113724,0.9558075597113723,1.9506276728803518,0.9871375860836167,2.457578467187604
21,1,49,240.48001449636638,95.57058205497731,0.955705820549773,1.9504200419383124,0.9866701299456992,2.404800144963664
22,1,49,259.40524665976744,96.61890904250052,0.9661890904250052,1.9718144702551126,0.9886553812262928,2.5940524665976743
23,1,49,275.90154664125043,98.83164268743005,0.9883164268743004,2.0169722997434705,0.9962524718464585,2.7590154664125044
24,1,49,230.2501117220822,97.80083490521174,0.9780083490521174,1.995935406228811,0.9947993030736961,2.3025011172208223
25,1,49,270.87605602810106,94.29472187326434,0.9429472187326433,1.924382079046211,0.9813422813113458,2.7087605602810108
26,1,49,287.3673435322059,98.91444665480525,0.9891444665480524,2.0186621766286783,0.9956943233246368,2.873673435322059
27,1,49,245.40839740851933,96.57367819606944,0.9657367819606943,1.9708913917565192,0.9896502162753981,2.454083974085193
28,1,49,280.6115598511253,97.9407835126568,0.9794078351265679,1.9987915002583019,0.9917626179706615,2.806115598511253
29,1,49,275.68400368594126,99.18934809870694,0.9918934809870694,2.0242724101776925,0.999220658442822,2.756840036859413
30,1,49,285.0608912193202,98.00150247063947,0.9800150247063947,2.0000306626661115,0.9936890818824082,2.8506089121932017
31,1,49,246.04181691549175,93.45391798961583,0.9345391798961583,1.9072228161146088,0.9806752955942046,2.4604181691549174
32,1,49,273.77761893143327,98.6749071705066,0.986749071705066,2.0137736157246247,0.9951334288044609,2.737776189314333
33,1,49,268.780545727516,98.11474204597656,0.9811474204597656,2.0023416744076847,0.9953069736749419,2.6878054572751604
34,1,49,248.78215712205787,97.48019989225305,0.9748019989225305,1.9893918345357766,0.9898279735735195,2.4878215712205787
35,1,49,257.02889075122874,98.73560668765057,0.9873560668765058,2.015012381380624,0.9961544535900319,2.5702889075122872
36,1,49,261.56783283121024,96.00927397585383,0.9600927397585383,1.9593729382827312,0.9852778404952327,2.6156783283121023
37,1,49,263.554229245181,95.52951322176797,0.9552951322176797,1.9495819024850607,0.9880364463947832,2.63554229245181
38,1,49,286.59082845419334,98.20365459102639,0.9820365459102639,2.0041562161433957,0.9954662826913954,2.8659082845419332
39,1,49,279.29690333409945,98.56929055433424,0.9856929055433424,2.01161817457825,0.9967829311041767,2.7929690333409947
40,1,49,261.93041822138963,97.78043558458633,0.9778043558458633,1.9955190935629863,0.9937334625475386,2.6193041822138965
41,1,49,251.07179109227232,96.57781776293272,0.9657781776293273,1.9709758727129127,0.9896053544164469,2.510717910922723
42,1,49,264.4861354196161,97.37735006179275,0.9737735006179276,1.9872928584039338,0.9903851013701148,2.644861354196161
43,1,49,272.04227711598236,97.22947667447558,0.9722947667447558,1.984275034172971,0.989811900866,2.7204227711598237
44,1,49,271.7167420298438,99.05883989221833,0.9905883989221833,2.021608977392211,0.9981388791536557,2.7171674202984377
45,1,49,285.3467372269183,96.2999413206672,0.962999413206672,1.9653049249115755,0.9858496283268239,2.8534673722691832
46,1,49,267.30934845576485,96.28086733831653,0.9628086733831652,1.9649156599656434,0.9863230682358938,2.6730934845576484
47,1,49,280.6167577690428,95.9507492671269,0.959507492671269,1.9581785564719774,0.9825457334329996,2.8061675776904282
48,1,49,271.99769408593977,98.73875335233411,0.9873875335233412,2.015076599027227,0.9950731968908688,2.719976940859398
49,1,49,258.4239691976734,96.13219751828079,0.9613219751828079,1.9618815820057305,0.9866778643293272,2.584239691976734
50,1,49,246.13566798712066,96.5644037830515,0.965644037830515,1.9707021180214592,0.9889916809687933,2.4613566798712068
51,1,49,267.5715041024258,95.61555632683749,0.9561555632683749,1.9513378842211733,0.9858038246190017,2.675715041024258
52,1,49,275.809283022672,96.74590960026899,0.9674590960026899,1.9744063183728364,0.9899061385781084,2.75809283022672
53,1,49,287.42521062508945,97.5487652841652,0.975487652841652,1.9907911282482693,0.991829198143826,2.8742521062508946
54,1,49,256.43280403618303,96.65752974990686,0.9665752974990686,1.9726026479572827,0.9903675673732515,2.5643280403618305
55,1,49,259.70103250788986,97.66424906790799,0.9766424906790799,1.9931479401613874,0.9946836434701765,2.5970103250788985
56,1,49,269.10812106059285,94.68678382729993,0.9468678382729994,1.9323833434142843,0.9807573832944811,2.6910812106059283
57,1,49,271.0495694917895,95.65971300145141,0.9565971300145141,1.9522390408459471,0.9843325700452136,2.710495694917895
58,1,49,268.2253199782633,94.65341922192233,0.9465341922192233,1.9317024331004558,0.9824042344606335,2.6822531997826333
